
TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:55 PM,33.8,32.0,93,29.84,2.0,Calm,Calm,-,0.03,,Unknown,0,2016-12-08 20:55:00<br />
1:15 PM,35.6,32.0,87,29.84,1.8,Calm,Calm,-,0.01,,Unknown,0,2016-12-08 21:15:00<br />
1:35 PM,35.6,32.0,87,29.83,1.8,Calm,Calm,-,0.02,,Unknown,0,2016-12-08 21:35:00<br />
1:55 PM,35.6,32.0,87,29.83,1.8,NE,3.5,-,0.04,,Unknown,40,2016-12-08 21:55:00<br />
2:15 PM,35.6,33.8,93,29.83,1.8,Calm,Calm,-,0.01,,Unknown,0,2016-12-08 22:15:00<br />
2:35 PM,35.6,32.0,87,29.83,2.0,ENE,3.5,-,0.03,,Unknown,60,2016-12-08 22:35:00<br />
2:55 PM,35.6,32.0,87,29.83,2.5,East,4.6,-,0.05,,Unknown,90,2016-12-08 22:55:00<br />
3:15 PM,35.6,32.0,87,29.83,2.0,ENE,6.9,-,0.01,,Unknown,60,2016-12-08 23:15:00<br />
3:35 PM,35.6,30.2,81,29.83,1.5,NE,6.9,-,0.02,,Unknown,50,2016-12-08 23:35:00<br />
3:55 PM,35.6,30.2,81,29.84,4.0,NE,6.9,-,0.05,,Unknown,50,2016-12-08 23:55:00<br />
4:15 PM,35.6,30.2,81,29.84,2.5,ENE,6.9,-,0.02,,Unknown,60,2016-12-09 00:15:00<br />
4:35 PM,35.6,30.2,81,29.85,5.0,ENE,4.6,-,0.03,,Unknown,70,2016-12-09 00:35:00<br />
4:55 PM,35.6,30.2,81,29.86,4.0,East,5.8,-,0.03,,Unknown,90,2016-12-09 00:55:00<br />
5:15 PM,35.6,30.2,81,29.86,2.5,East,4.6,-,N/A,,Unknown,80,2016-12-09 01:15:00<br />
5:35 PM,35.6,30.2,81,29.87,2.5,East,5.8,-,0.01,,Unknown,90,2016-12-09 01:35:00<br />
5:55 PM,35.6,30.2,81,29.88,4.0,East,5.8,-,0.01,,Unknown,90,2016-12-09 01:55:00<br />
6:15 PM,35.6,30.2,81,29.88,3.0,Calm,Calm,-,0.01,,Unknown,0,2016-12-09 02:15:00<br />
6:35 PM,35.6,30.2,81,29.89,3.0,Calm,Calm,-,0.01,,Unknown,0,2016-12-09 02:35:00<br />
6:55 PM,35.6,30.2,81,29.89,3.0,Calm,Calm,-,0.01,,Unknown,0,2016-12-09 02:55:00<br />
7:15 PM,35.6,30.2,81,29.91,4.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-09 03:15:00<br />
7:35 PM,35.6,30.2,81,29.91,4.0,ENE,3.5,-,0.01,,Unknown,70,2016-12-09 03:35:00<br />
7:55 PM,35.6,30.2,81,29.93,7.0,ENE,3.5,-,0.01,,Unknown,60,2016-12-09 03:55:00<br />
8:15 PM,35.6,32.0,87,29.94,4.0,East,3.5,-,N/A,,Unknown,80,2016-12-09 04:15:00<br />
8:35 PM,35.6,30.2,81,29.95,10.0,East,4.6,-,N/A,,Unknown,80,2016-12-09 04:35:00<br />
8:55 PM,35.6,30.2,81,29.96,10.0,East,3.5,-,N/A,,Unknown,90,2016-12-09 04:55:00<br />
9:15 PM,35.6,30.2,81,29.98,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-09 05:15:00<br />
9:35 PM,35.6,30.2,81,29.97,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-09 05:35:00<br />
9:55 PM,35.6,30.2,81,29.98,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-09 05:55:00<br />
10:15 PM,35.6,30.2,81,29.99,10.0,ENE,3.5,-,N/A,,Unknown,60,2016-12-09 06:15:00<br />
10:35 PM,35.6,32.0,87,29.99,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-09 06:35:00<br />
10:55 PM,35.6,30.2,81,30.01,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-09 06:55:00<br />
11:15 PM,35.6,32.0,87,30.02,5.0,Calm,Calm,-,0.01,,Unknown,0,2016-12-09 07:15:00<br />
11:35 PM,35.6,32.0,87,30.01,10.0,Calm,Calm,-,0.01,,Unknown,0,2016-12-09 07:35:00<br />
11:55 PM,35.6,32.0,87,30.02,10.0,Calm,Calm,-,0.01,,Unknown,0,2016-12-09 07:55:00<br />
